"id","text","label","confidence"
"10239674864474861-top-0001","Tất cả các số cứu hộ từ dân quân tới công an xã đến 112 quốc gia em đều gọi hết rồi. Có số nghe máy nhưng cũng trong tình hình khẩn cấp lắm, giờ họ cứu được ai thì cứu thôi  🙏.
Ba ơi, an toàn nha ba 😔. 
--------
E xin phép được nhắc lại 🙏
Cần cứu hộ khu 🆘🆘🆘🆘
📍https://maps.app.goo.gl/tqCRNvKR6UpBytb7A?g_st=ipc
Định vị sau lưng nhà thờ Mằng Lăng đường lên khu cô nhi viện cần giúp đỡ (Hội tín an thạch - tuy an đông)
------
E chấm định vị nhà ba em, cứu trợ thấy thì đến khu vực đó với ạ, ngoài nhà ba e thì cũng có nhiều nhà cấp 4 cần giúp đỡ🙏🙏🙏🙏
0982719668 (hàng xóm còn lh dc)
0901469649","1","0.93"
"10239674864474861-reply-0001-0001","Trần Bông Mai thương quá cầu cho mn đượcan toàn ...🙏🙏🙏...❤️","0","0.8"
"10239674864474861-reply-0001-0002","Trần Bông Mai .","0","0.6"
"10239674864474861-top-0002","NHÀ EM ĐANG CẦN 1 CHIẾC CA NÔ ĐỂ CỨU TRỢ ĐI RA KHỎI VÙNG NHÀ ĐANG NGẬP LÊN TỚI MÁI RỒI KO TRỤ ĐƯỢC NỮA.. Ở NHÀ ĐANG CÓ 5 ĐỨA NHỎ 5 TUỔI ĐẾN 7 TUỔI VÀ 3 PHỤ NỮ MẸ CỦA MÁY CHÁU..XIN CỨU GẤP Ạ.. Địa chỉ gần trụ sống vinaphone.đội 2 thôn hội phú.. xã tuy an đông tỉnh daklak ( phú yên)...0385613926","1","0.93"
"10239674864474861-reply-0002-0001","Trần Bông Mai e cũng đội 2, nhờ mng cứu lấy hội phú với ạ","0","0.6"
"10239674864474861-top-0003","Gấp lắm mn ơi🙏🙏🙏🙏🙏🙏🙏

THÔN LONG HOÀ, XÃ XUÂN LONG, HUYỆN ĐỒNG XUÂN, TỈNH PHÚ YÊN (cũ) 
CÓ TRỰC THĂNG cứu xóm em với mn ơi, giờ cano công an báo ko qua đc nước xiết lắm, 
Có nhiều người già và trẻ em bị kẹt đang leo lên mái ngồi hết rồi 😭😭 
Xóm vùng sâu vùng xa ít người biết đến lắm ạ
0399647488 chị Du","1","0.93"
"10239674864474861-top-0004","Em khẩn cầu xin cứu hộ giúp gia đình em với ạ, 
Nhà em ở Vĩnh Trung , nước ngập qua bếp, cả nhà đang lên mái ở. Gọi cứu hộ chưa được. 
Tổ 19- Thôn Đồng Nhơn- xã Vĩnh Trung, Chùa Liên Hoa tịnh viện
Khánh Hoà.
Nước đang lên rất nhanh, gia đình em 2 người lớn và 2 em bé. 
Số đt em Ngọc - 0944811242
Em Ngọc xin cảm ơn nhiều!(Cả nhà đã được cứu hôm qua)","0","0.95"
"10239674864474861-reply-0004-0001","Lieu TB Tran","0","0.6"
"10239674864474861-top-0005","🆘 KHU VỰC NHƠN BÌNH CŨ 🆘 
Dạ có đội cứu hộ nào ở khu vực Nhơn Bình - Quy Nhơn không ạ. Cứu nhà bác em với, 2 người già 70 tuổi ( 1 người tai biến nằm 1 chỗ) và 1 trẻ em
Em cảm ơn ạ
Địa chỉ: Đường Phùng Chí Kiên, Tổ 43, khu vực 6,phường Nhơn Bình cũ ( đối diện trường đại học Quang Trung, nhà nằm giữa đồng)
Đt 0935063573","1","0.76"
"10239674864474861-reply-0005-0001","Cẩm Trinh","0","0.6"
